subject	source_repo	survives	disposition	certainty	provenance_shape	verification_shape	verification_sha	verification_sha_date	sha_on_default_branch	live_sha	live_sha_date	repo_delta_status	repo_commits_since	row_status	paths_checked	note
Owner queue -- the genuinely open decisions and actions	fleet-manager	yes	distill	MEASURED	path	sha+instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/owner-queue.md=MOVED	
Owner reflection -- the verification-wall thesis and the five-point standing instruction	fleet-manager	yes	distill	OWNER	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-reflection-2026-07-21.md=UNCHANGED	
Owner vocabulary for this repo	fleet-manager	no	archive_only	UNVERIFIED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
Owner's own words on why this estate exists (the one answered worksheet)	fleet-manager	yes	carry	OWNER	path	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/intent-workbooks/estate/why-this-estate-exists.md=UNCHANGED	
Owner-gated resume/archive decision	fleet-manager	yes	carry	MEASURED-PRIOR	path	sha+instant				17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	UNCHECKABLE:sha-unresolved-in-source-repo		33d9064b376f657fd91e487c66ecb3e626ae3fb9 not a commit in fleet-manager (HTTP 422)
Owner-intent questions (2026-08-28) — still open	fleet-manager	yes	carry	MEASURED	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-28-owner-intent-questions.md=UNCHANGED	several SHAs; the latest-dated is the verification point
The OWNER: marker convention — how the owner marks his own words	fleet-manager	yes	carry	MEASURED	path	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/intent-workbooks/HOW-TO-ANSWER.md=UNCHANGED	
The final EAP mail — the owner's owed send (step E1)	fleet-manager	yes	distill	MEASURED	paths:2	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-24-final-eap-email-draft.md=UNCHANGED | docs/planning/2026-07-26-final-eap-email-plan.md=UNCHANGED	several SHAs; the latest-dated is the verification point
The intent-workbook trees are live owner attention, not archive	fleet-manager	yes	carry	MEASURED	path+annotation	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/intent-workbooks/=UNCHANGED	
The owner's working style and how a session should ask, interrupt, and defer to his live word	fleet-manager	yes	carry	OWNER	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-profile.md=UNCHANGED	
Two unanswered successor worksheets frame the migration itself	fleet-manager	yes	carry	MEASURED	paths:2	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/intent-workbooks/successor/what-carries-over.md=UNCHANGED | owner/intent-workbooks/successor/what-happens-to-fleet-manager.md=UNCHANGED	
Owner north star for the tuning thread	spider-swing	yes	carry	OWNER	path	sha@instant	fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0	2026-08-23T20:17:00Z	yes	dffb8f5b89c360b05c43455734bb415e6864fafa	2026-09-04T16:31:14Z	CHANGED_REAUDIT	1	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
deploy safety rail	superbot	no	carry	MEASURED-PRIOR	paths:2+qualified+annotation	sha@instant	5e3a667b2a55bae98a7863dd66492f477dd19546	2026-08-20T23:17:52Z	yes	5e3a667b2a55bae98a7863dd66492f477dd19546	2026-08-20T23:17:52Z	UNCHANGED_REUSABLE	0	SOURCE_UNVERIFIED_CROSS_REPO	docs/operations/=UNCHANGED | fleet-manager:docs/repos/superbot/README.md=UNVERIFIED_CROSS_REPO	
The agent-operating-environment roadmap (2026-08-08)	fleet-manager	yes	distill	OWNER	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-08-agent-operating-environment-roadmap.md=UNCHANGED	several SHAs; the latest-dated is the verification point
The estate structure proposal — the decided tree, boot path, file rules and kit prerequisites	fleet-manager	yes	distill	OWNER	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/planning/2026-09-01-estate-structure-proposal/=MOVED	several SHAs; the latest-dated is the verification point
The fresh-start redirect directive ([D-0025])	fleet-manager	yes	distill	OWNER	path	sha-only	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-30-fresh-start-redirect.md=UNCHANGED	several SHAs; the latest-dated is the verification point
The initiative-loop design ([D-0021]/[D-0022])	fleet-manager	yes	distill	OWNER	path	sha-only	caa6cd2ab6591794258b68b3c385a8378a55c8d3	2026-09-03T21:42:38Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/planning/2026-08-29-initiative-loop-design.md=UNCHANGED	
Program step R6 (make the idea corpus browsable) is still open	idea-engine	yes	distill	MEASURED	path	sha@instant	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	yes	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Next step is program R2: graduate phone-controller to its own repository	product-forge	no	carry	MEASURED-PRIOR	path+qualified+annotation	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:no-sha-in-verification_point		
The kit's live worklist lives in fleet-manager, not the kit	substrate-kit	yes	distill	MEASURED-PRIOR	path	sha@instant	ff06fb902c6922272f2a338a3a60b528255d57e5	2026-09-01T18:25:00Z	yes	6a82288e9e8164ddb5e0233c11449f0938a6e0b5	2026-09-04T12:30:02Z	CHANGED_REAUDIT	2	SOURCE_UNCHANGED	docs/NEXT-TASKS.md=UNCHANGED	
successor direction	superbot	no	archive_only	REASONED	path	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:no-sha-in-verification_point		
Required status checks / kit adoption	couch-legend	no	carry	MEASURED	path+annotation	instant-only						CHANGED_REAUDIT	4	UNCHECKABLE:no-sha-in-verification_point		
Claude Code vs ChatGPT Work/Codex execution-surface comparison and the prompt rules it implies	fleet-manager	yes	distill	MEASURED-PRIOR	path	sha+instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/execution-surfaces.md=UNCHANGED	
Cross-repo Q-number citation grammar	fleet-manager	yes	distill	MEASURED	path	sha@instant	06dbbfe181fa6a08cc8f0001ebb9cc9fd997a779	2026-09-04T12:05:54Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/q-index.md=UNCHANGED	
The Layer-2 per-repo entry-point contract (folder shape, thread-block convention, honest-coverage discipline)	fleet-manager	yes	distill	MEASURED	path	sha@instant	50c1b1e6effd2cd5ba0ae821889e511651cc67c5	2026-09-04T12:19:06Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/repos/README.md=UNCHANGED	
The acceptance-test method for a per-repo entry point (single-repo boot, the survey, the unprimed-reader falsification)	fleet-manager	yes	distill	MEASURED	path	sha@instant	50c1b1e6effd2cd5ba0ae821889e511651cc67c5	2026-09-04T12:19:06Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/repos/ACCEPTANCE-TESTS.md=UNCHANGED	
The capability-discovery method: THE DISCOVERY RULE, the owner's standing grant, never-document-a-limitation	fleet-manager	yes	distill	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/CAPABILITIES.md=MOVED	
The durable 'why' -- success criteria, failure costs, the growth rule, decision heuristics, the agent roster	fleet-manager	yes	distill	OWNER	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/intent.md=UNCHANGED	
The estate's recurring execution-mistake register (nine TRAP entries)	fleet-manager	yes	distill	MEASURED	path	sha+instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/traps.md=MOVED	
The integration protocol for owner answers: quote verbatim, do not synthesize	fleet-manager	yes	distill	MEASURED	path	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/intent-workbooks/WHEN-I-AM-BACK.md=UNCHANGED	
The owner's naming and file-size rule for the successor's folders	fleet-manager	yes	distill	OWNER	path	sha-only	21b19be84dad54d3ca6fc026dcb5477543687bfd	2026-09-04T12:22:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	owner/intent-workbooks/successor/naming-and-file-size.md=UNCHANGED	
The owner-comments operating workflow (storage topology, unconsumed/consumed lifecycle, the consume command, the everything-is-public rule)	fleet-manager	yes	distill	MEASURED	path	sha@instant	50c1b1e6effd2cd5ba0ae821889e511651cc67c5	2026-09-04T12:19:06Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/owner-comments/README.md=UNCHANGED	
Working agreement and autonomy rails (CONSTITUTION.md)	fleet-manager	yes	distill	MEASURED	path	sha+instant	7d99f7d2f020d10b7230cb9f0970b5ec72691dbe	2026-08-29T15:42:51Z	yes	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	CONSTITUTION.md=UNCHANGED	
docs/conventions/adversarial-review.md — the [survived]/[conceded]/[partial] disposition vocabulary	fleet-manager	yes	distill	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/conventions/adversarial-review.md=UNCHANGED	
docs/conventions/vertex-first-for-gemini.md — Gemini routing	fleet-manager	yes	distill	MEASURED	path	sha@instant	7ccc88a9c4f4dbe9afcb45a0c37c8c55628d73cc	2026-09-04T12:24:49Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/conventions/vertex-first-for-gemini.md=UNCHANGED	
playbook.md's nine surviving rules (R1, R2, R16, R17, R22, R24, R28, R29, R30)	fleet-manager	yes	distill	MEASURED	path	sha+instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/playbook.md=UNCHANGED	
HANDOFF.md's newest-session-card pointer cannot be trusted literally in this snapshot	idea-engine	no	distill	MEASURED	path	sha@instant	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	yes	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	HANDOFF.md=UNCHANGED	
Build gates	spider-swing	no	distill	MEASURED	path+annotation	sha@instant	fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0	2026-08-23T20:17:00Z	yes	dffb8f5b89c360b05c43455734bb415e6864fafa	2026-09-04T16:31:14Z	CHANGED_REAUDIT	1	SOURCE_UNCHANGED	README.md=UNCHANGED	
Front door / reading order for a cold agent	websites	no	distill	MEASURED	path	sha@instant	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	yes	48b75de8fd305a9ab658d18a3fa8962ec63b8fea	2026-09-03T20:49:56Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/AGENT_ORIENTATION.md=UNCHANGED	
Canonical mechanics and state docs	couch-legend	no	carry	MEASURED	path	sha@instant	d877ed0b611418f35ad9e578785b012a844d1992	2026-08-23T10:00:25Z	yes	254531ba23e169102d316cc009bd7388704cc783	2026-09-04T18:36:58Z	CHANGED_REAUDIT	4	SOURCE_MOVED	docs/current-state.md=MOVED	
Product identity and purpose	couch-legend	yes	distill	MEASURED	path	sha@instant	d877ed0b611418f35ad9e578785b012a844d1992	2026-08-23T10:00:25Z	yes	254531ba23e169102d316cc009bd7388704cc783	2026-09-04T18:36:58Z	CHANGED_REAUDIT	4	SOURCE_UNCHANGED	README.md=UNCHANGED	
Identity and purpose	creator-kit	yes	distill	MEASURED	path	sha@instant	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	yes	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
substrate-kit v1.21.0 is vendored whole	creator-kit	no	archive_only	MEASURED	path	sha@instant	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	yes	741f429a2e96587aa27075085b85df889531d2a7	2026-08-25T21:16:27Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	bootstrap.py=UNCHANGED	
Disambiguation: recurring bot backup does NOT live here	estate-backups	no	carry	MEASURED-PRIOR	paths:2+qualified+annotation	sha@instant	c1439abb35976ca706c19f7817823d09b443a8e0	2026-08-20T22:34:31Z	yes	c1439abb35976ca706c19f7817823d09b443a8e0	2026-08-20T22:34:31Z	UNCHANGED_REUSABLE	0	SOURCE_UNVERIFIED_CROSS_REPO	README.md=UNCHANGED | fleet-manager:docs/repos/estate-backups/README.md=UNVERIFIED_CROSS_REPO	
Front door is inadequate on its own	estate-backups	no	distill	MEASURED	path	sha@instant	c1439abb35976ca706c19f7817823d09b443a8e0	2026-08-20T22:34:31Z	yes	c1439abb35976ca706c19f7817823d09b443a8e0	2026-08-20T22:34:31Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
estate-backups purpose and one-shot-venue pattern	estate-backups	yes	distill	MEASURED	paths:2	sha@instant	c1439abb35976ca706c19f7817823d09b443a8e0	2026-08-20T22:34:31Z	yes	c1439abb35976ca706c19f7817823d09b443a8e0	2026-08-20T22:34:31Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	.github/workflows/dump.yml=UNCHANGED | .github/workflows/sizing.yml=UNCHANGED	
Cross-repo dependency: Android release signing	fleet-manager	yes	distill	MEASURED-PRIOR	path+annotation	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
No fleet-manager Layer 2 folder exists for creator-kit	fleet-manager	no	distill	MEASURED	paths:2+annotation	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
The 10 built Layer-2 folders — which repos have an entry point, and how fresh each one is	fleet-manager	yes	distill	MEASURED	path	sha@instant	50c1b1e6effd2cd5ba0ae821889e511651cc67c5	2026-09-04T12:19:06Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_UNCHANGED	docs/repos/spider-swing/README.md=UNCHANGED	
The estate repository index -- which repo owns what, canonical entry points, name disambiguation	fleet-manager	yes	distill	MEASURED	path	sha@instant	14ea77e9f3b9aa35f5d17a0994afa4b4c235fe26	2026-09-04T11:54:32Z	no	17a532bc319a327ea9ade4632e0bcf50c1b70dda	2026-09-04T19:02:10Z	CHANGED_REAUDIT	20	SOURCE_MOVED	docs/ESTATE.md=MOVED	
sim-lab's canonical entry points are README.md + CONVENTIONS.md; no docs/repos/sim-lab Layer-2 folder exists	fleet-manager	yes	carry	MEASURED	path	instant-only						CHANGED_REAUDIT	20	UNCHECKABLE:no-sha-in-verification_point		
Pipeline dependency: idea-engine → sim-lab → fleet-manager	idea-engine	no	distill	MEASURED	path	sha@instant	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	yes	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
The idea corpus is exactly 566 non-README files	idea-engine	no	distill	MEASURED	path+annotation	sha@instant	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	yes	df6b027372b046678491e9ae306fc36cef61c01f	2026-08-23T08:53:34Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	ideas/=UNCHANGED	
product-forge's live product is phone-controller, not the seat-era build queue	product-forge	yes	distill	MEASURED	paths:2+annotation	sha+instant	7a53b2667b29ac13817821bad6fe62eccf512ed7	2026-08-20T20:06:39Z	yes	7a53b2667b29ac13817821bad6fe62eccf512ed7	2026-08-20T20:06:39Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	products/phone-controller/README.md=UNCHANGED | .sessions/2026-08-20-phone-controller-slice22-foldables.md=UNCHANGED	
product-forge's own README is seat-era and actively misdirects a cold session	product-forge	yes	distill	MEASURED	path	sha@instant	7a53b2667b29ac13817821bad6fe62eccf512ed7	2026-08-20T20:06:39Z	yes	7a53b2667b29ac13817821bad6fe62eccf512ed7	2026-08-20T20:06:39Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
Canonical state sources	shiftlife	no	carry	MEASURED	path	sha@instant	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	yes	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Dependencies	shiftlife	no	carry	MEASURED	path	sha@instant	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	yes	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
Repo identity and purpose	shiftlife	no	distill	MEASURED	path	sha@instant	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	yes	33d9064b376f657fd91e487c66ecb3e626ae3fb9	2026-07-27T21:11:05Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
harness/ (the reusable library) exists as documented, 4 files	sim-lab	no	archive_only	MEASURED	api-reference	sha@instant						UNCHANGED_REUSABLE	0	UNCHECKABLE:api-reference-not-a-path		
sim-lab current operating role and owner-open scope question	sim-lab	yes	distill	MEASURED	path	sha@instant	72ed751e657edfbadd115a6e2c47adade9cb84b1	2026-08-23T17:01:25Z	yes	72ed751e657edfbadd115a6e2c47adade9cb84b1	2026-08-23T17:01:25Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Railway build system is RAILPACK, not NIXPACKS	spider-bot	yes	distill	MEASURED	path	sha@instant	bf4d75278a74147aaf9c7f19e2da2c7abb1939cb	2026-08-25T22:42:55Z	yes	ee243fd870fa23c9e5efdde2211bc64b1f6f437a	2026-09-04T19:02:39Z	CHANGED_REAUDIT	27	SOURCE_MOVED	.railway/railway.ts=MOVED	
canonical entry points	spider-bot	no	carry	MEASURED	paths:3	sha@instant	bf4d75278a74147aaf9c7f19e2da2c7abb1939cb	2026-08-25T22:42:55Z	yes	ee243fd870fa23c9e5efdde2211bc64b1f6f437a	2026-09-04T19:02:39Z	CHANGED_REAUDIT	27	SOURCE_MOVED	README.md=MOVED | CLAUDE.md=MOVED | docs/extraction-ledger.md=MOVED	
dependency relationship: superbot / superbot-next	spider-bot	no	distill	MEASURED	paths:2+annotation	sha@instant	bf4d75278a74147aaf9c7f19e2da2c7abb1939cb	2026-08-25T22:42:55Z	yes	ee243fd870fa23c9e5efdde2211bc64b1f6f437a	2026-09-04T19:02:39Z	CHANGED_REAUDIT	27	SOURCE_MOVED	README.md=MOVED | docs/extraction-ledger.md=MOVED	
deploy trap — push to main deploys straight to production	spider-bot	no	carry	MEASURED	paths:2+annotation	sha@instant	bf4d75278a74147aaf9c7f19e2da2c7abb1939cb	2026-08-25T22:42:55Z	yes	ee243fd870fa23c9e5efdde2211bc64b1f6f437a	2026-09-04T19:02:39Z	CHANGED_REAUDIT	27	SOURCE_MOVED	.github/workflows/ci.yml=UNCHANGED | README.md=MOVED	
identity and live status	spider-bot	no	distill	MEASURED	path+annotation	sha+instant	bf4d75278a74147aaf9c7f19e2da2c7abb1939cb	2026-08-25T22:42:55Z	yes	ee243fd870fa23c9e5efdde2211bc64b1f6f437a	2026-09-04T19:02:39Z	CHANGED_REAUDIT	27	SOURCE_MOVED	README.md=MOVED	
unresolved test-count discrepancy	spider-bot	no	archive_only	MEASURED	paths:2+glob	sha@instant	bf4d75278a74147aaf9c7f19e2da2c7abb1939cb	2026-08-25T22:42:55Z	yes	ee243fd870fa23c9e5efdde2211bc64b1f6f437a	2026-09-04T19:02:39Z	CHANGED_REAUDIT	27	SOURCE_MOVED	README.md=MOVED | tests/*.py=MOVED	
Canonical entry points	spider-swing	no	carry	MEASURED	paths:3	sha@instant	fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0	2026-08-23T20:17:00Z	yes	dffb8f5b89c360b05c43455734bb415e6864fafa	2026-09-04T16:31:14Z	CHANGED_REAUDIT	1	SOURCE_UNCHANGED	README.md=UNCHANGED | docs/current-state.md=UNCHANGED | .substrate/rendered/current-state.md=UNCHANGED	
Publishing name and package identity	spider-swing	no	distill	MEASURED	path	sha@instant	fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0	2026-08-23T20:17:00Z	yes	dffb8f5b89c360b05c43455734bb415e6864fafa	2026-09-04T16:31:14Z	CHANGED_REAUDIT	1	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
Adopter dependency graph	substrate-kit	no	distill	MEASURED-PRIOR	path	sha@instant	a9acc413644ceb1fa48851744d7082b5fa1ce1a6	2026-08-28T10:34:19Z	yes	6a82288e9e8164ddb5e0233c11449f0938a6e0b5	2026-09-04T12:30:02Z	CHANGED_REAUDIT	2	SOURCE_UNCHANGED	docs/adopters.md=UNCHANGED	
Canonical entry points	substrate-kit	no	carry	MEASURED	paths:2	sha@instant	ff06fb902c6922272f2a338a3a60b528255d57e5	2026-09-01T18:25:00Z	yes	6a82288e9e8164ddb5e0233c11449f0938a6e0b5	2026-09-04T12:30:02Z	CHANGED_REAUDIT	2	SOURCE_UNCHANGED	README.md=UNCHANGED | control/status.md=UNCHANGED	
canonical entry point	superbot	no	carry	MEASURED	path	sha@instant	5e3a667b2a55bae98a7863dd66492f477dd19546	2026-08-20T23:17:52Z	yes	5e3a667b2a55bae98a7863dd66492f477dd19546	2026-08-20T23:17:52Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/AGENT_ORIENTATION.md=UNCHANGED	
canonical doc pair for state/handover	superbot-next	no	carry	MEASURED	path	sha@instant	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	yes	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
closeout's read-only claim is false	superbot-next	no	distill	MEASURED	path	instant-only						UNCHANGED_REUSABLE	0	UNCHECKABLE:no-sha-in-verification_point		
dependency — live superbot is the oracle	superbot-next	yes	distill	MEASURED	path	sha@instant	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	yes	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
repo state — complete-parked architecture donor	superbot-next	no	distill	MEASURED	path	sha@instant	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	yes	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	docs/current-state.md=UNCHANGED	
root README.md is stale and an inadequate standalone front door	superbot-next	no	distill	MEASURED	path	sha@instant	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	yes	d5f66dc27768d49b2755f368c6a2d0ecca66a1af	2026-08-13T15:21:11Z	UNCHANGED_REUSABLE	0	SOURCE_UNCHANGED	README.md=UNCHANGED	
