subject,source_repo,source_path,verification_point,certainty,canonical_owner,estate_role,disposition,transform_required,links_that_must_survive,blocker,verifier,contradicted_by,contradiction_resolution,refuted,stale_on_copy,only_source_is_hub_summary,certainty_overclaimed,fact,origin_lane,survives,killed_by,canonical_state_source
Substrate-kit-planted template docs -- empty or redundant with live surfaces (5 files),fleet-manager,docs/helper-policy.md,06dbbfe@2026-09-04 -- 5 files,MEASURED,hub,archive/,archive_only,False,,one source_path stands for 5 files; the archive manifest must enumerate all five,"enumerator full reads of helper-policy.md, runtime_contracts.md, ai-project-workflow.md, seat-digest.md, central-docs-plan.md",,none,False,False,False,,"helper-policy.md is an unfilled stub. runtime_contracts.md is mostly placeholder; its one real fact (forward-only READY-PR commits, substrate-gate the sole required check) is fleet-manager repo mechanics, moot once frozen. ai-project-workflow.md restates the born-red/claim/verify/close loop stated more currently in .claude/CLAUDE.md. seat-digest.md is a machine render whose consumer no longer exists. central-docs-plan.md is a permanent MOVED pointer stub.",area:run1-four-areas,yes,,docs/current-state.md
Ten older superseded consolidation and product plans,fleet-manager,docs/planning/2026-07-14-central-docs-plan.md; docs/planning/2026-07-26-ci-consolidation.md; docs/planning/2026-07-26-consolidation-plan-v2.md; docs/planning/2026-07-26-fleet-consolidation-plan.md; docs/planning/2026-07-12-repo-consolidation-plan.md; docs/planning/2026-07-24-app-plan-life-admin.md; docs/planning/2026-07-19-next-slices.md; docs/planning/gen2-launch-record-2026-07-10.md; docs/planning/order-016-followups-2026-07-11.md; docs/planning/overnight-menu-2026-07-17.md,"caa6cd2, headers read for 7 of 10",MEASURED,hub,archive/,archive_only,False,docs/planning/2026-07-26-consolidation-program.md,"three of the ten (gen2-launch-record, order-016-followups, overnight-menu) were classified from docs/planning/README.md's rows rather than their own headers — acceptable only because the disposition is archive_only; any attempt to promote one requires opening it first",enumerator read headers directly for 7 files at caa6cd2; 3 classified from docs/planning/README.md rows 36-38,,none,False,False,False,,"central-docs-plan, ci-consolidation, consolidation-plan-v2, fleet-consolidation-plan v1, repo-consolidation-plan, app-plan-life-admin, next-slices, gen2-launch-record, order-016-followups, overnight-menu. Each is marked historical or superseded in its own header; the chain runs repo-consolidation-plan -> fleet-consolidation-plan v1 -> consolidation-plan-v2 -> consolidation-program. app-plan-life-admin's GO already executed into the shiftlife repo; the last four are seat-era session-groom records. None gates current work.",area:planning,yes,,docs/current-state.md
The 18 of 28 repositories with no Layer-2 folder need a repositories/<repo>/README.md authored fresh at seed time,fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,"killed at disposition: not source_path (and, independently, only_source_is_hub_summary with certainty != 'OWNER')",disposition judge for area repos-and-owner-comments,,none,True,False,False,,"source_path is empty by the enumerator's own admission — there is no docs/repos/ content for these 18 to seed from. What the item actually contains is a five-point authoring instruction for seed-time work, not a fact that survives migration. That is a job for the seed plan, not a seed item; the routing truth these repos do have already lives in docs/ESTATE.md (28-repo baseline, MEASURED 2026-08-26) and their dispositions in docs/planning/2026-08-22-repo-dispositions.md (keep 14 / archive 12 / delete 0, OD-18, nine executed 2026-08-23), both of which belong to the estate-index area and should be judged there rather than smuggled in here through a sourceless item.",area:repos-and-owner-comments,no,"not source_path (and, independently, only_source_is_hub_summary with certainty != 'OWNER')",docs/current-state.md
"The 7 lab-origin idea files (5 open, 2 rejected)",fleet-manager,docs/ideas/,7ccc88a@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,read the frontmatter block of every non-README file in docs/ideas/ at 7ccc88a,,none,False,True,False,,"Measured at HEAD: archive-ready-retro-gap-advisory (rejected), review-queue-drainer (rejected), checker-contract-bank, consume-the-open-pr-signal, derive-dont-state-counts, fleet-economics-ledger, lane-seeder-automation (open). Self-generated during the autonomous-Projects era, never owner-endorsed, dated 2026-07-09 to 2026-08-11. No owner attention attaches to any of them.",area:apparatus,yes,,docs/current-state.md
The consolidation program's §7 progress ledger and §0/§2/§4/§5/§6 framework,fleet-manager,docs/planning/2026-07-26-consolidation-program.md,"caa6cd2, lines 53-65 and 306-397",MEASURED,hub,archive/,archive_only,False,,,enumerator read via sed/fold at docs/planning/2026-07-26-consolidation-program.md@caa6cd2,,none,False,False,False,,"§7 is a pure append-only historical table of landed PRs. §0 (goal sentence), §2 (seven-section target picture), §4 (how a session works this program), §5 (what it is not) and §6 (open forks, empty) are static process scaffolding now superseded by the estate's practices/how-we-work-here.md and its generated now.md design.",area:planning,yes,,docs/current-state.md
The docs/ folder-level door index,fleet-manager,docs/README.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,superseded by design (D-0032),enumerator read docs/README.md in full @14ea77e,,none,False,True,False,,"docs/README.md lists what sits directly beneath docs/ as a folder-open convenience and states it does NOT cover the 64 other loose files at that level, pointing at MAP.md instead -- the exact gap D-0032 already decided to fix in the new hub with a generated map and no file outside a folder.",area:run1-four-areas,yes,,docs/current-state.md
The five top-level owner/*.md single-question drafts are superseded duplicates,fleet-manager,owner/choose-estate-archive-shape.md; owner/choose-estate-folder-structure.md; owner/choose-estate-migration-order.md; owner/fill-repository-purposes.md; owner/triage-recorded-ideas.md,sha@21b19be,MEASURED,hub,archive/,archive_only,False,,,"read the headers of all five files at 21b19be, and grepped 'no renames' estate-wide — it appears in choose-estate-folder-structure.md, docs/planning/2026-09-01-estate-structure-proposal/{structure.md,kit-prerequisites-and-migration.md} and is recorded as an owner condition at docs/decisions.md [D-0025]",,none,False,False,False,,"choose-estate-archive-shape.md, choose-estate-folder-structure.md and fill-repository-purposes.md each carry a 2026-09-01 note pointing at a fuller intent-workbooks page asking the same question and saying 'pick one and answer there; no need to answer twice'; choose-estate-migration-order.md and triage-recorded-ideas.md are unanswered 2026-08-30 drafts. Copying these alongside the workbook pages would manufacture the same-question-in-two-files drift the notes themselves flag. The one piece of owner text among them — his 2026-08-30 'no renames along the way' condition — is already carried in docs/decisions.md [D-0025], so archiving these files orphans nothing.",area:owner-workbooks,yes,,docs/current-state.md
The hub's merged-work / shipped history log,fleet-manager,docs/current-state-shipped-log.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read current-state.md in full and current-state-shipped-log.md's header/purpose statement @14ea77e,,none,False,True,False,,current-state.md's 'Work state' and 'Recently shipped' sections plus the whole of current-state-shipped-log.md form one continuous historical merged-work log; the shipped-log's own header tags itself RECORD tier and states it is not something a cold session must read.,area:run1-four-areas,yes,,docs/current-state.md
The installed-skill roster documentation (SKILLS-local.md and SKILLS.md),fleet-manager,docs/SKILLS-local.md,14ea77e@2026-09-04; judge ran ls .claude/skills | wc -l -> 28 @2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read SKILLS.md in full and SKILLS-local.md's header/roster/re-apply tables; judge counted the live skill directories (28) and re-grepped both count claims,docs/SKILLS.md:9 ('all 27') vs docs/SKILLS-local.md:16/257/323 ('All 28'),resolved: live count of .claude/skills at HEAD is 28; SKILLS.md's 27 is stale,False,True,False,,"SKILLS-local.md documents fleet-manager's specific .claude/skills/ tree including a kit-upgrade re-apply tracking table; SKILLS.md is the kit-generated companion. The two disagree on the total: SKILLS.md:9 says 'all 27, both halves', SKILLS-local.md says 'All 28' in three places. JUDGE RESOLUTION: ls .claude/skills | wc -l = 28 at HEAD, so SKILLS-local.md is right and SKILLS.md is stale. Either way the new hub's roster is a build-time artifact of its own tree per D-0038, so nothing here is copied.",area:run1-four-areas,yes,,docs/current-state.md
The owner-comment channel is built but has effectively never carried traffic,fleet-manager,docs/owner-comments/websites/README.md,50c1b1e6effd2cd5ba0ae821889e511651cc67c5@2026-09-04T00:00:00Z,MEASURED,hub,archive/,archive_only,False,docs/owner-comments/websites/consumed/oc-c3c8bee2da350d92f9f32fe983e273bc.json,,grepped Unconsumed/Consumed counts across all 28 docs/owner-comments/*/README.md@50c1b1e6 and read docs/owner-comments/websites/README.md in full,,none,False,True,False,,"MEASURED across all 28 docs/owner-comments/<repo>/README.md: 27 show 'Unconsumed (0)' and 'Consumed history (0)'; websites is the sole exception with one consumed record (oc-c3c8bee2da350d92f9f32fe983e273bc, created 2026-08-28T00:34:26Z, consumed 2026-08-28T00:43:20Z) from an end-to-end verification test. There is zero unconsumed owner feedback anywhere in the estate. A reader of docs/owner-comments/README.md alone would reasonably infer a live populated feedback channel; it is not one at HEAD. Nothing here is content the successor needs — only the mechanism (separate items) — and the per-repo skeletons regenerate from the tool on demand.",area:repos-and-owner-comments,yes,,docs/current-state.md
The proposed 11 folder-role contracts (folders/README.md and its 11 children) as a standalone seed fact,fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: contradicted_by and contradiction_resolution == 'unresolved',disposition judge for area owner-workbooks,,none,True,False,False,,"The item's own claim is that the 11 roles are still PROPOSED and unratified, which contradicts this run's brief stating they are agreed and not to be renamed. I am leaving that unresolved rather than laundering it: I cannot ratify the owner's folder names on his behalf, and the brief is an operating instruction for this run, not owner evidence. Note what the kill does and does not cost — the folders/ worksheets still move to estate/owner/ as part of the carried trees (item 2), so the owner's 'Names you want changed' section stays open and answerable. Only the assertion that the roles are unsettled dies as a seed fact, and it is published here so he can overrule it. Certainty was also REASONED, the weakest grade in the area.",area:owner-workbooks,no,contradicted_by and contradiction_resolution == 'unresolved',docs/current-state.md
"The unanswered worksheet apparatus (73 forms) carried whole, including its generated indexes and its 1-of-74 count",fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: stale_on_copy and disposition == 'carry',disposition judge for area owner-workbooks,,none,True,False,False,,"The enumerator itself set stale_on_copy true and disposition carry — the rule kills that combination, and the rule is right here. The item bundles three things with different half-lives: the worksheet trees (durable), the generated PROGRESS.md/README.md (wrong the moment they are copied without their generators), and the '73 of 74 blank' count (wrong the first evening the owner answers a second page). It cannot be one carry. It is replaced by three narrower survivors that assert no count: the trees (carry), the marker convention (carry), the generators (distill, with the porting blocker stated). Nothing of substance is lost; the framing that fused live forms to a generated tally is what died.",area:owner-workbooks,no,stale_on_copy and disposition == 'carry',docs/current-state.md
Unfilled repo-navigation-map stub,fleet-manager,docs/repo-navigation-map.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,"enumerator read the file in full (21 lines), read MAP.md's header for contrast, and read the STALE finding in docs/findings/2026-08-28-kit-tree-truth-pass.md","docs/MAP.md, the actually populated navigation router",resolved: MAP.md is the live surface; the stub's own completeness rule condemns it,False,False,False,,"docs/repo-navigation-map.md is a kit-generated placement-guide template never populated -- its 'Where things live' table holds only its placeholder row. A Codex-reviewed audit (docs/findings/2026-08-28-kit-tree-truth-pass.md, fm #960) already flagged it STALE as 'a reachable routing surface that routes nothing'.",area:run1-four-areas,yes,,docs/current-state.md
"Workflow-touching-PR merge policy, already absorbed into playbook R30",fleet-manager,docs/workflow-pr-merge-policy.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,playbook R30's citation of this file for the full policy and residual-risk rationale,,enumerator read playbook.md:315-344 and workflow-pr-merge-policy.md in full,,none,False,False,False,,"workflow-pr-merge-policy.md's live three-point check (Codex-clean at exact head SHA, all checks green, whole-file secret + egress scan) is the origin of playbook R30, and playbook.md:315-334 already inlines the full policy plus a link back for the why-not-a-CI-gate rationale. Seeding R30 carries the operative policy; this file needs only a resolving archive link.",area:run1-four-areas,yes,,docs/current-state.md
collaboration-model.md duplicates root CONSTITUTION.md,fleet-manager,docs/collaboration-model.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator grep of CONSTITUTION.md for the matching clauses plus a full read of collaboration-model.md,"docs/AGENT_ORIENTATION.md lists it in 'the planted doc set... keep it that way', while AGENT_ORIENTATION.md is itself self-declared non-current","resolved: the content is redundant with CONSTITUTION.md, the canonical source",False,False,False,,"collaboration-model.md (kit-planted, Status: binding) restates doctrine -- session prompts are guidance not orders, approved plan = execute, the OWNER-ACTION fields, friction-to-guard, PL-ID citation -- already present verbatim in root CONSTITUTION.md. Its own 2026-08-11 corrections repoint its OWNER-ACTION citation to CONSTITUTION.md, i.e. it already defers.",area:run1-four-areas,yes,,docs/current-state.md
decisions.md entries specific to fleet-manager's own history or completed one-time program events,fleet-manager,docs/decisions.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read decisions.md's header and full [D-NNNN] heading list (30 headings) @14ea77e,,none,False,True,False,,"D-0001 (kit adoption), the EAP-mail decisions, repo-disposition tables and similar entries record fleet-manager's operating history or one-time program events already run to completion -- provenance for what happened, not standing rules a fresh estate session needs on day one.",area:run1-four-areas,yes,,docs/current-state.md
docs/activity/estate-log.md and docs/activity/off-repo-log.md — the accumulated log content itself,fleet-manager,(killed before a source was recorded),(killed at disposition),REVIEWED,hub,archive/,archive_only,False,,killed at disposition: not verification_point; and (only_source_is_hub_summary and certainty != 'OWNER'),disposition judge for area apparatus,,none,True,False,False,,"The enumerator never opened either file, so it has no verification point, and its only source is docs/activity/README.md's description of the derived lane — a hub document restating what the tool produces, with no primary read. Both branches fire independently. The judgement is right anyway: this is a rolling window over one week's cards across fleet-manager's own repo set, wrong within days of being frozen, so it stays in the archive and only the mechanism travels (the surviving estate_activity.py item).",area:apparatus,no,not verification_point; and (only_source_is_hub_summary and certainty != 'OWNER'),docs/current-state.md
docs/conventions/outbox-rollover.md,fleet-manager,docs/conventions/README.md,7ccc88a@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,read docs/conventions/README.md line 8 at 7ccc88a,,none,False,True,False,,conventions/README.md states plainly that it 'governs a retired surface and reads as history' — a primary-source admission. The control/outbox.md surface it governs is seat-era apparatus that no longer exists.,area:apparatus,yes,,docs/current-state.md
docs/ideas/ lifecycle mechanism (INTAKE/MAP/ROUTE/GROOM/OUTCOME conveyor + the YAML frontmatter outcome record),fleet-manager,docs/ideas/README.md,7ccc88a@2026-09-04,MEASURED,substrate-kit,archive/,archive_only,False,,,read docs/ideas/README.md lines 1-35 in full at 7ccc88a — the 'Generated by substrate-kit' line is verbatim in its status block,,none,False,False,False,,"CORRECTION to the enumerator: docs/ideas/README.md says in its own status block 'Generated by substrate-kit'. The lifecycle and the frontmatter contract (state / origin / shipped_pr / shipped_repo / merged_date / outcome) are kit-owned, so the successor gets this mechanism by adopting the kit — there is nothing here for the hub to author or carry.",area:apparatus,yes,,docs/current-state.md
execution-surfaces.md's dated update/incident narrative,fleet-manager,docs/execution-surfaces.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read execution-surfaces.md in full @14ea77e,,none,False,True,False,,"The 'Update 2026-08-05' / 'Update 2026-08-10' paragraphs document specific investigations (a Work-session review task, the fm #837 cold-read test, a corrected AGENTS.md claim) that are evidence for how the comparison table was derived, not day-one orientation.",area:run1-four-areas,yes,,docs/current-state.md
fleet-manager-as-index (2026-08-08) and the repo-navigation plan (2026-08-10),fleet-manager,docs/planning/2026-08-08-fleet-manager-as-index.md; docs/planning/2026-08-10-repo-navigation-plan.md,"caa6cd2, headers read",MEASURED,hub,archive/,archive_only,False,docs/planning/2026-09-01-estate-structure-proposal/structure.md,,enumerator read first ~15 lines of each at caa6cd2; not re-opened this pass,,none,False,False,False,,"Owner-live design decisions for fleet-manager's own two-layer restructure — docs/repos/<name>/ handoff folders, and MAP.md's CORE/TASK/RECORD tiers. The mechanism the current hub still uses for per-repo navigation, and the precursor the 2026-09-01 role-named repositories/<repo>/ tree replaces. The pattern they proved (a contract per folder) is cited inside the fresh-start redirect, so the originals need not be live.",area:planning,yes,,docs/current-state.md
playbook.md's seat-era dispatch/roster/control-bus rules,fleet-manager,docs/playbook.md,14ea77e@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator read playbook.md in full @14ea77e,,none,False,True,False,,"R3-R15, R18-R21 and R25-R27 describe the closed autonomous-seat coordination apparatus -- worker dispatch, inbox-append protocol, roster regeneration, trigger-health pacemaker discipline, the manager-backup escalation ladder -- which the file's banner and the boot file both mark historical.",area:run1-four-areas,yes,,docs/current-state.md
trigger-health-spec.md (R26) -- same finding as ROUTINES.md,fleet-manager,docs/trigger-health-spec.md,06dbbfe@2026-09-04,MEASURED,hub,archive/,archive_only,False,,,enumerator full read of trigger-health-spec.md plus grep of docs/CAPABILITIES.md,,none,False,False,False,,"trigger-health-spec.md's 2026-08-11 era note concedes the per-wake ritual is seat-era and unexecutable (no manager wakes exist; its record of record, docs/roster.md, was retired 2026-08-07 so its staleness flag would fire forever). Its detection signatures are already recorded in docs/CAPABILITIES.md.",area:run1-four-areas,yes,,docs/current-state.md
"Currently-binding estate-wide operating decisions (Gemini routing, trigger deletion, Codex review, model tiering, PR discipline)",fleet-manager,docs/decisions.md,14ea77e@2026-09-04,OWNER,hub,decisions/,distill,True,.claude/hooks/codex_round_guard.py -> the hub's rebuilt hook | .claude/hooks/trigger_tools_guard.py -> the hub's rebuilt hook | docs/conventions/vertex-first-for-gemini.md -> archive URL | docs/traps.md TRAP-009,"each entry carries several hundred words of amendment history and dated cost narrative (D-0011 alone has three layered amendments) that is provenance, not the operative rule; the verdict must be extracted with a link back to the archived entry","enumerator read D-0011, D-0024, D-0039, D-0040, D-0041 in decisions.md and cross-checked D-0015/D-0019 against .claude/CLAUDE.md @14ea77e","D-0011's own three amendments (2026-08-05, 2026-08-28, 2026-08-29) disagree on what bounds the paid-Gemini spend",resolved: each amendment states what it supersedes and what survives; the ledger resolves itself in place,False,False,False,,"D-0011/D-0020 (the free Gemini key is the default route, Vertex retired), D-0015 (never delete a trigger; disable is the emergency stop), D-0019 (Codex review is comment-triggered only, ~5.5 min relay, findings arrive as inline PR comments), D-0024 (one main PR per session), D-0039 (three Codex rounds per PR per session, enforced by a denying hook), D-0040 (fan-out staffing by task tier) and D-0041 (owner quotes lightly correctable for spelling, never meaning) are still-binding rules applying to any session working any repo in the account.",area:run1-four-areas,yes,,docs/current-state.md
The consolidation program's owner-directive table (OD-1..OD-26),fleet-manager,docs/planning/2026-07-26-consolidation-program.md,"caa6cd2 (165149 bytes, 397 lines); §3 region re-read at 7ccc88a",OWNER,hub,decisions/,distill,True,docs/decisions.md,"must be split into one decisions/owner/OD-NN-<slug>.md per directive (the kit-prerequisites table's own instruction); the long-form original stays archived. Each split file must carry the directive's expiry condition where it has one — OD-13 and OD-15 are conditions, not permanent law",read docs/planning/2026-07-26-consolidation-program.md lines 60-120 at 7ccc88a; enumerator read the full file at caa6cd2,,none,False,True,False,,"26 accreted owner directives with verbatim quotes, 2026-07-26 through 2026-08-28 — the durable standing decisions (OD-13 methods before product, OD-15 shiftlife not the D2 target, OD-20 no further repo cuts, OD-26 map-then-revise-then-execute). Cited as binding by CLAUDE.md's precedence section, but it lives inside a 165KB file that also holds a churning NOW pointer and a historical §7 ledger — the exact live-and-historical-in-one-file pattern the owner said on 2026-08-30 he does not want carried forward.",area:planning,yes,,docs/current-state.md
The decision ledger's own specification for how `estate` must be built (D-0025 to D-0038),fleet-manager,docs/decisions.md,14ea77e@2026-09-04; judge re-read [D-0032] verbatim @2026-09-04,OWNER,hub,decisions/,carry,True,docs/planning/2026-08-30-fresh-start-redirect.md -> archive URL | docs/findings/2026-09-01-owner-direction.md -> archive URL | owner/README.md generator contract,"these entries together exceed D-0034's own 200-line preflight cap, so they seed as one verbatim file per decision rather than one block; the split is mechanical but must actually be done",enumerator read D-0025 through D-0041 verbatim @14ea77e; judge re-read [D-0032] at docs/decisions.md:925+ and confirmed the 'required reading order stays' verdict and its four rules,,none,False,False,False,,"docs/decisions.md contains the owner-ratified, live-quoted specification governing this seeding task: the fresh-start redirect and its carry/distill/archive_only vocabulary (D-0025), the hub name `estate` (D-0026), a generated owner/README.md (D-0027), the idea-queue cap (D-0028), the archive-candidate detector (D-0029), session-card idea markers (D-0030), the no-idea-null rule (D-0031), the findability contract -- reading order kept, one question per file, no file outside a folder, generated top-level map (D-0032), the archive shape archive/<role>/<YYYY-MM>/<path> plus generated manifest (D-0033), file-length limits 120/200 (D-0034), the build order thin-seed -> blind-cold-test -> write-cutover -> deeper-machinery (D-0035), and hooks/skills in the hub repo only (D-0038).",area:run1-four-areas,yes,,docs/current-state.md
Governing decisions D-0012 and D-0036,websites,docs/decisions.md,48b75de8fd305a9ab658d18a3fa8962ec63b8fea@2026-09-04,MEASURED,websites,decisions/,archive_only,False,docs/decisions.md#d-0012 | docs/decisions.md#d-0036,none; refuter dropped it: product_truth_duplicated,"claude-sonnet-5 audit session, 2026-09-04",,none,True,False,False,,"docs/decisions.md carries [D-0012] (password-gated /owner area, fail-closed Basic auth or Discord session) and [D-0036] (three seat-era heavy routes gated in place behind D-0012's gate as a crawler-DoS fix), both verified present with matching mechanism detail against current-state.md's citations.",repo:menno420/websites,no,refuted by an adversarial lens,docs/current-state.md
postgres-botsite final dump — verified released artifact,estate-backups,releases API (tag postgres-botsite-final-2026-08-16),live-api@2026-09-04,MEASURED,estate-backups,evidence/,carry,False,release URL / tag name postgres-botsite-final-2026-08-16,none,"this audit, live GitHub releases API read",,none,False,False,False,,"Release tag postgres-botsite-final-2026-08-16 exists in the repo with 3 assets (manifest.txt, postgres-botsite-final.dump, postgres-botsite-final.sql.gz) — the restore-verified pre-deletion archive of the old botsite Postgres data.",repo:menno420/estate-backups,no,product truth (estate-backups) carried whole into the hub,docs/repos/estate-backups/README.md (in fleet-manager; the repo itself has no state source — README.md is 130 bytes identity-only)
"docs/providers/* — the vendor capability reference set (claude, chatgpt, gemini, gemini-notebook, github-copilot, grok, deepseek, mistral, meta-llama, cohere)",fleet-manager,docs/providers/README.md,7ccc88a@2026-09-04,MEASURED,hub,evidence/,carry,False,docs/providers/README.md | .claude/hooks/doc-routes.json,,read docs/providers/README.md lines 1-25 in full at 7ccc88a,,none,False,False,False,,"A living-ledger of what each provider's surfaces can do at model granularity, surfaced automatically by route_docs.py the moment a session probes a matching endpoint. Its README opens with the load-bearing disclaimer that none of these is a routing table and nothing in them licenses declining a task — the set exists to tell 'use the other path' apart from 'impossible', which is the confusion that repeatedly costs the owner a turn. Estate-wide operating knowledge, not product truth belonging to another repo.",area:apparatus,yes,,docs/current-state.md
control/inbox.md and control/status.md directly contradict each other on ORDER completion,product-forge,control/inbox.md; control/status.md,7a53b2667b29ac13817821bad6fe62eccf512ed7@2026-09-04,MEASURED,product-forge,evidence/,archive_only,False,,none; refuter dropped it: not_needed_for_routing,"estate-truth-baseline audit 2026-09-04, corroborating 2026-08-23-active-repo-intent-audit.md §7.2",none between the two repo files once read together — status.md is the internally corroborated side,resolved:status.md's completion record is the accurate one; inbox.md is simply stale (never re-stamped by a manager that stopped existing),True,False,False,,"control/inbox.md shows ORDERs 001-004 all at status:new; control/status.md line 202 reports orders: acked=001,002,003,004 done=001,002,003,004, corroborated by dated evidence elsewhere in status.md and the session cards for the underlying work.",repo:menno420/product-forge,no,refuted by an adversarial lens,control/status.md
"README front door is actively wrong, not merely thin",spider-swing,README.md,fc64a3fbb25ff8be21a7bbeceb1d5c8275d614f0@2026-09-04T00:00:00Z,MEASURED,spider-swing,evidence/,carry,False,docs/findings/2026-08-23-active-repo-intent-audit.md#7.1,"none — agent-executable fix, just not yet landed",claude,,none,False,True,False,,"spider-swing/README.md (345 lines) still states the name/branding is unresolved, that no release signing exists, and that store publishing remains fully absent — all three false against the repo's own docs/current-state.md — and contains zero mentions of the live Play track. A turnkey 5-edit fix brief exists (fleet-manager 2026-08-23-active-repo-intent-audit.md §7.1) and has not been applied as of this SHA (commits_since main = 0).",repo:menno420/spider-swing,no,would be stale the moment it is copied — carry is the wrong verb; product truth (spider-swing) carried whole into the hub,docs/current-state.md
The 11 owner-origin idea files still marked outcome: open,fleet-manager,docs/ideas/,7ccc88a@2026-09-04,MEASURED,owner,ideas/,distill,True,docs/ideas/game-lab-2026-07-09.md | docs/ideas/email-chief-of-staff-2026-07-09.md | docs/ideas/superbot-production-watchdog-2026-07-09.md,"Distil to one line each plus an archive link, not eleven copied files. game-lab is already tracked more currently in the consolidation program's repository table (gba-homebrew + pokemon-mod-lab), so it should be reconciled or dropped rather than restated.",read the frontmatter block (state/origin/outcome) of every non-README file in docs/ideas/ at 7ccc88a,,none,False,False,False,,"Measured across all 18 idea files' frontmatter at HEAD: eleven carry origin: owner and outcome: open — bot-analytics-lane, design-system-lane, devlog-building-in-public, email-chief-of-staff, fleet-security-auditor, game-lab, gba-play-discord, mobile-lab-lane, research-desk-release-watcher, spend-instrument-model, superbot-production-watchdog — all captured 2026-07-09/10, i.e. eight weeks without action. These are things the owner himself raised and nobody closed; they are owner attention, not history, and they are the only part of this directory that is.",area:apparatus,yes,,docs/current-state.md
No unresolved owner-comment items for substrate-kit,fleet-manager,docs/owner-comments/substrate-kit/README.md,live-api@2026-09-04T00:00:00Z,MEASURED,hub,owner/,archive_only,False,,none; refuter dropped it: not_needed_for_routing,claude-sonnet-5 estate-truth-baseline audit 2026-09-04,,none,True,True,False,,docs/owner-comments/substrate-kit/README.md shows 0 unconsumed and 0 consumed comments — nothing pending owner attention through that channel.,repo:menno420/substrate-kit,no,refuted by an adversarial lens,docs/current-state.md
No unresolved owner-routing items for websites,fleet-manager,docs/owner-comments/websites/README.md,live-api@2026-09-04,MEASURED,hub,owner/,carry,False,docs/owner-comments/websites/README.md,none; refuter dropped it: stale_on_copy,"claude-sonnet-5 audit session, 2026-09-04",,none,True,True,False,,"fleet-manager's owner-comments index for websites shows 0 unconsumed records (1 consumed, 2026-08-28) as of this audit — no pending owner feedback item currently blocks routing to this repo.",repo:menno420/websites,no,refuted by an adversarial lens; would be stale the moment it is copied — carry is the wrong verb,docs/current-state.md
"OD-24 owner-directed review round is in progress, session 5 not yet run",fleet-manager,docs/repos/substrate-kit/README.md,live-api@2026-09-04T00:00:00Z,REVIEWED,owner,owner/,carry,False,docs/repos/substrate-kit/README.md | docs/findings/2026-08-28-owner-direction-agent-autonomy.md,awaiting owner's words for the rename and further round sessions; refuter dropped it: no_primary_source,"claude-sonnet-5 estate-truth-baseline audit 2026-09-04, read from fleet-manager local doc, not independently re-verified against a primary owner transcript this pass",,none,True,True,True,,"The owner ordered a review round 2026-08-27/28 (""review it again and improve it""); sessions 1-4 done, still open: OQ-KIT-RENAME (owner will supply new name), OQ-KIT-V1-21-RELEASE adopter half, agenda item 2.G (card deletion, deliberately unasked), and the BTD6 history loop.",repo:menno420/substrate-kit,no,refuted by an adversarial lens; would be stale the moment it is copied — carry is the wrong verb; only source is a hub document restating something with no primary,docs/current-state.md
Open owner dependency: OQ-BOT-DB-BTD6-PRUNE unanswered,fleet-manager,docs/owner-queue.md,live-file@2026-09-04,MEASURED,owner,owner/,archive_only,False,docs/owner-queue.md OQ-BOT-DB-BTD6-PRUNE entry,owner has not yet answered the prune question; refuter dropped it: stale_on_copy,this audit,,none,True,True,False,,"This repo's next action (a fm #867-style restore-verified dump, then prune) is gated on the owner answering OQ-BOT-DB-BTD6-PRUNE (bot DB is 97.5% accumulated BTD6 ingestion history, 949 MB) — still open as of this read.",repo:menno420/estate-backups,no,refuted by an adversarial lens,docs/current-state.md
